second,BVP
4336,-0.9134463276836162
4337,-0.9134463276836162
4338,-0.9134463276836162
4339,-0.9134463276836162
4340,-0.9134463276836162
4341,-0.9134463276836162
4342,-0.9134463276836162
4343,-0.9134463276836162
4344,-0.9134463276836162
4345,-0.9134463276836162
4346,-31.2
4347,-0.9134463276836162
4348,-0.9134463276836162
4349,-0.9134463276836162
4350,-0.9134463276836162
4351,-0.9134463276836162
4352,-0.9134463276836162
4353,-0.9134463276836162
4354,-0.9134463276836162
4355,-0.9134463276836162
4356,-0.9134463276836162
4357,-0.9134463276836162
4358,-31.48
4359,-0.9134463276836162
4360,-0.9134463276836162
4361,-0.9134463276836162
4362,-0.9134463276836162
4363,-0.9134463276836162
4364,-0.9134463276836162
4365,-0.9134463276836162
4366,-0.9134463276836162
4367,-0.9134463276836162
4368,-0.9134463276836162
4369,-0.9134463276836162
4370,-30.3
4371,-0.9134463276836162
4372,-0.9134463276836162
4373,-0.9134463276836162
4374,-0.9134463276836162
4375,-0.9134463276836162
4376,-0.9134463276836162
4377,-0.9134463276836162
4378,-0.9134463276836162
4379,-0.9134463276836162
4380,-0.9134463276836162
4381,-0.9134463276836162
4382,-29.75
4383,-0.9134463276836162
4384,-0.9134463276836162
4385,-0.9134463276836162
4386,-0.9134463276836162
4387,-0.9134463276836162
4388,-0.9134463276836162
4389,-0.9134463276836162
4390,-0.9134463276836162
4391,-0.9134463276836162
4392,-0.9134463276836162
4393,-0.9134463276836162
4394,-31.79
4395,-0.9134463276836162
4396,-0.9134463276836162
4397,-0.9134463276836162
4398,-0.9134463276836162
4399,-0.9134463276836162
4400,-0.9134463276836162
4401,-0.9134463276836162
4402,-0.9134463276836162
4403,-0.9134463276836162
4404,-0.9134463276836162
4405,-0.9134463276836162
4406,-37.3
4407,-0.9134463276836162
4408,-0.9134463276836162
4409,-0.9134463276836162
4410,-0.9134463276836162
4411,-0.9134463276836162
4412,-0.9134463276836162
4413,-0.9134463276836162
4414,-0.9134463276836162
4415,-0.9134463276836162
4416,-0.9134463276836162
4417,-0.9134463276836162
4418,-45.6
4419,-0.9134463276836162
4420,-0.9134463276836162
4421,-0.9134463276836162
4422,-0.9134463276836162
4423,-0.9134463276836162
4424,-0.9134463276836162
4425,-0.9134463276836162
4426,-0.9134463276836162
4427,-0.9134463276836162
4428,-0.9134463276836162
4429,-0.9134463276836162
4430,-54.63
4431,-0.9134463276836162
4432,-0.9134463276836162
4433,-0.9134463276836162
4434,-0.9134463276836162
4435,-0.9134463276836162
4436,-0.9134463276836162
4437,-0.9134463276836162
4438,-0.9134463276836162
4439,-0.9134463276836162
4440,-0.9134463276836162
4441,-0.9134463276836162
4442,-61.74
4443,-0.9134463276836162
4444,-0.9134463276836162
4445,-0.9134463276836162
4446,-0.9134463276836162
4447,-0.9134463276836162
4448,-0.9134463276836162
4449,-0.9134463276836162
4450,-0.9134463276836162
4451,-0.9134463276836162
4452,-0.9134463276836162
4453,-0.9134463276836162
4454,-64.72
4455,-0.9134463276836162
4456,-0.9134463276836162
4457,-0.9134463276836162
4458,-0.9134463276836162
4459,-0.9134463276836162
4460,-0.9134463276836162
4461,-0.9134463276836162
4462,-0.9134463276836162
4463,-0.9134463276836162
4464,-0.9134463276836162
4465,-0.9134463276836162
4466,-62.48
4467,-0.9134463276836162
4468,-0.9134463276836162
4469,-0.9134463276836162
4470,-0.9134463276836162
4471,-0.9134463276836162
4472,-0.9134463276836162
4473,-0.9134463276836162
4474,-0.9134463276836162
4475,-0.9134463276836162
4476,-0.9134463276836162
4477,-0.9134463276836162
4478,-55.29
4479,-0.9134463276836162
4480,-0.9134463276836162
4481,-0.9134463276836162
4482,-0.9134463276836162
4483,-0.9134463276836162
4484,-0.9134463276836162
4485,-0.9134463276836162
4486,-0.9134463276836162
4487,-0.9134463276836162
4488,-0.9134463276836162
4489,-0.9134463276836162
4490,-44.31
4491,-0.9134463276836162
4492,-0.9134463276836162
4493,-0.9134463276836162
4494,-0.9134463276836162
4495,-0.9134463276836162
4496,-0.9134463276836162
4497,-0.9134463276836162
4498,-0.9134463276836162
4499,-0.9134463276836162
4500,-0.9134463276836162
4501,-0.9134463276836162
4502,-31.06
4503,-0.9134463276836162
4504,-0.9134463276836162
4505,-0.9134463276836162
4506,-0.9134463276836162
4507,-0.9134463276836162
4508,-0.9134463276836162
4509,-0.9134463276836162
